iter	Passed	Remaining
0	148	148105
1	149	74824
2	152	50610
3	153	38311
4	155	30908
5	156	25987
6	158	22471
7	159	19808
8	161	17763
9	162	16113
10	164	14746
11	165	13660
12	168	12759
13	170	11995
14	171	11291
15	180	11092
16	182	10537
17	184	10042
18	185	9587
19	187	9180
20	189	8831
21	191	8504
22	193	8229
23	196	7975
24	198	7751
25	201	7537
26	203	7325
27	205	7139
28	208	6972
29	210	6814
30	214	6711
31	217	6573
32	219	6430
33	221	6287
34	223	6150
35	224	6023
36	227	5933
37	230	5827
38	232	5725
39	234	5638
40	239	5601
41	242	5533
42	245	5460
43	247	5372
44	248	5282
45	250	5198
46	252	5121
47	254	5041
48	255	4967
49	261	4967
50	262	4890
51	264	4821
52	265	4748
53	267	4677
54	268	4609
55	269	4543
56	271	4487
57	274	4457
58	275	4399
59	278	4358
60	280	4310
61	281	4265
62	282	4205
63	284	4157
64	285	4101
65	286	4047
66	288	4020
67	289	3965
68	292	3943
69	293	3895
70	293	3846
71	295	3804
72	295	3757
73	296	3716
74	297	3675
75	298	3631
76	299	3589
77	300	3548
78	301	3513
79	304	3496
80	306	3473
81	308	3450
82	309	3417
83	310	3388
84	311	3351
85	312	3316
86	313	3285
87	314	3259
88	316	3237
89	321	3248
90	322	3219
91	323	3193
92	324	3167
93	326	3143
94	327	3115
95	327	3088
96	328	3062
97	330	3039
98	331	3012
99	331	2986
100	335	2986
101	336	2962
102	337	2939
103	338	2914
104	338	2889
105	339	2864
106	340	2840
107	340	2816
108	341	2794
109	342	2772
110	343	2751
111	344	2728
112	344	2705
113	345	2683
114	345	2661
115	346	2641
116	347	2620
117	352	2631
118	353	2613
119	353	2593
120	354	2574
121	355	2556
122	355	2535
123	356	2516
124	356	2498
125	357	2479
126	358	2461
127	358	2442
128	359	2426
129	359	2409
130	360	2392
131	361	2376
132	362	2362
133	366	2369
134	368	2359
135	369	2345
136	370	2331
137	370	2315
138	371	2301
139	372	2286
140	373	2272
141	373	2258
142	374	2246
143	375	2232
144	376	2218
145	376	2204
146	377	2191
147	382	2202
148	383	2191
149	386	2187
150	386	2175
151	387	2163
152	389	2154
153	390	2143
154	391	2132
155	391	2120
156	393	2111
157	400	2131
158	401	2126
159	402	2115
160	403	2104
161	404	2093
162	406	2084
163	406	2073
164	408	2069
165	412	2074
166	413	2064
167	415	2057
168	416	2047
169	417	2038
170	418	2028
171	419	2017
172	420	2008
173	421	1999
174	422	1989
175	422	1979
176	423	1970
177	429	1983
178	430	1976
179	432	1969
180	436	1972
181	437	1966
